2019-10-16 20:42:45.2307 TotalError: 0, Region: Aberdeenshire, London: False, Error: 0, Next: 1.0023817936666668, Change: 0
2019-10-16 20:42:45.2672 TotalError: 0, Region: Adur, London: False, Error: 0, Next: 3.2052838880000003, Change: 0
2019-10-16 20:42:45.2672 TotalError: 0, Region: Allerdale, London: False, Error: 0, Next: 3.074690528, Change: 0
2019-10-16 20:42:45.2672 TotalError: 0, Region: Amber Valley, London: False, Error: 0, Next: 5.963159225000001, Change: 0
2019-10-16 20:42:45.2788 TotalError: 0, Region: Angus, London: False, Error: 0, Next: 6.410730214333333, Change: 0
2019-10-16 20:42:45.2788 TotalError: 0, Region: Argyll and Bute, London: False, Error: 0, Next: 5.732596503666667, Change: 0
2019-10-16 20:42:45.2788 TotalError: 0, Region: Arun, London: False, Error: 0, Next: 3.4333134179999996, Change: 0
2019-10-16 20:42:45.2788 TotalError: 0, Region: Ashfield, London: False, Error: 0, Next: 5.889425173666666, Change: 0
2019-10-16 20:42:45.2950 TotalError: 0, Region: Ashford, London: False, Error: 0, Next: 3.2125323456666663, Change: 0
2019-10-16 20:42:45.2950 TotalError: 0, Region: Aylesbury Vale, London: False, Error: 0, Next: 4.5270440396666665, Change: 0
2019-10-16 20:42:45.2950 TotalError: 0, Region: Babergh, London: False, Error: 0, Next: 3.0753060303333335, Change: 0
2019-10-16 20:42:45.2950 TotalError: 0, Region: Barking and Dagenham, London: True, Error: 0, Next: 5.750662862666666, Change: 0
2019-10-16 20:42:45.3116 TotalError: 0, Region: Barnet, London: True, Error: 0, Next: -1.277549813, Change: 0
2019-10-16 20:42:45.3116 TotalError: 0, Region: Barnsley, London: False, Error: 0, Next: 7.775076317333333, Change: 0
2019-10-16 20:42:45.3116 TotalError: 0, Region: Barrow-in-Furness, London: False, Error: 0, Next: 5.840758588666667, Change: 0
2019-10-16 20:42:45.3254 TotalError: 0, Region: Basildon, London: False, Error: 0, Next: 3.1035948550000003, Change: 0
2019-10-16 20:42:45.3254 TotalError: 0, Region: Basingstoke and Deane, London: False, Error: 0, Next: 2.309293487, Change: 0
2019-10-16 20:42:45.3254 TotalError: 0, Region: Bassetlaw, London: False, Error: 0, Next: 6.742164742, Change: 0
2019-10-16 20:42:45.3254 TotalError: 0, Region: Bath and North East Somerset, London: False, Error: 0, Next: 2.741503649666667, Change: 0
2019-10-16 20:42:45.3424 TotalError: 0, Region: Bedford, London: False, Error: 0, Next: 4.357589268000001, Change: 0
2019-10-16 20:42:45.3424 TotalError: 0, Region: Bexley, London: True, Error: 0, Next: 3.513706617666667, Change: 0
2019-10-16 20:42:45.3424 TotalError: 0, Region: Birmingham, London: False, Error: 0, Next: 8.765357625666667, Change: 0
2019-10-16 20:42:45.3576 TotalError: 0, Region: Blaby, London: False, Error: 0, Next: 5.459369951333334, Change: 0
2019-10-16 20:42:45.3576 TotalError: 0, Region: Blackburn with Darwen, London: False, Error: 0, Next: 7.905200825666667, Change: 0
2019-10-16 20:42:45.3576 TotalError: 0, Region: Blackpool, London: False, Error: 0, Next: 3.5769242196666666, Change: 0
2019-10-16 20:42:45.3705 TotalError: 0, Region: Blaenau Gwent, London: False, Error: 0, Next: 13.753137426666667, Change: 0
2019-10-16 20:42:45.3705 TotalError: 0, Region: Bolsover, London: False, Error: 0, Next: 8.009938557, Change: 0
2019-10-16 20:42:45.3705 TotalError: 0, Region: Bolton, London: False, Error: 0, Next: 6.451403862333334, Change: 0
2019-10-16 20:42:45.3705 TotalError: 0, Region: Boston, London: False, Error: 0, Next: 7.602063335666667, Change: 0
2019-10-16 20:42:45.3897 TotalError: 0, Region: Bournemouth, London: False, Error: 0, Next: 6.535438095333333, Change: 0
2019-10-16 20:42:45.3897 TotalError: 0, Region: Bracknell Forest, London: False, Error: 0, Next: 0.7773264506666666, Change: 0
2019-10-16 20:42:45.3897 TotalError: 0, Region: Bradford, London: False, Error: 0, Next: 5.610051451333334, Change: 0
2019-10-16 20:42:45.3897 TotalError: 0, Region: Braintree, London: False, Error: 0, Next: 3.2052838880000003, Change: 0
2019-10-16 20:42:45.4061 TotalError: 0, Region: Breckland, London: False, Error: 0, Next: 2.8390992243333333, Change: 0
2019-10-16 20:42:45.4061 TotalError: 0, Region: Brent, London: True, Error: 0, Next: 4.357589268000001, Change: 0
2019-10-16 20:42:45.4061 TotalError: 0, Region: Brentwood, London: False, Error: 0, Next: 3.5093596290000004, Change: 0
2019-10-16 20:42:45.4202 TotalError: 0, Region: Bridgend, London: False, Error: 0, Next: 6.6109865150000005, Change: 0
2019-10-16 20:42:45.4202 TotalError: 0, Region: Brighton and Hove, London: False, Error: 0, Next: 6.279567058333332, Change: 0
2019-10-16 20:42:45.4202 TotalError: 0, Region: Broadland, London: False, Error: 0, Next: 4.816448865666666, Change: 0
2019-10-16 20:42:45.4202 TotalError: 0, Region: Bromley, London: True, Error: 0, Next: 1.1437527906666667, Change: 0
2019-10-16 20:42:45.4378 TotalError: 0, Region: Bromsgrove, London: False, Error: 0, Next: 6.034743157, Change: 0
2019-10-16 20:42:45.4378 TotalError: 0, Region: Broxbourne, London: False, Error: 0, Next: 5.3322205663333335, Change: 0
2019-10-16 20:42:45.4378 TotalError: 0, Region: Broxtowe, London: False, Error: 0, Next: 3.185731746, Change: 0
2019-10-16 20:42:45.4502 TotalError: 0, Region: Buckinghamshire, London: False, Error: 0, Next: 4.744889273, Change: 0
2019-10-16 20:42:45.4502 TotalError: 0, Region: Burnley, London: False, Error: 0, Next: 11.457807706666665, Change: 0
2019-10-16 20:42:45.4502 TotalError: 0, Region: Bury, London: False, Error: 0, Next: 12.385992096666667, Change: 0
2019-10-16 20:42:45.4661 TotalError: 0, Region: Caerphilly, London: False, Error: 0, Next: 10.358309310000001, Change: 0
2019-10-16 20:42:45.4661 TotalError: 0, Region: Calderdale, London: False, Error: 0, Next: 7.755317398333332, Change: 0
2019-10-16 20:42:45.4661 TotalError: 0, Region: Cambridge, London: False, Error: 0, Next: 1.4069609346666667, Change: 0
2019-10-16 20:42:45.4814 TotalError: 0, Region: Cambridgeshire, London: False, Error: 0, Next: 2.8332409246666668, Change: 0
2019-10-16 20:42:45.4814 TotalError: 0, Region: Camden, London: True, Error: 0, Next: -1.037577083, Change: 0
2019-10-16 20:42:45.4814 TotalError: 0, Region: Cannock Chase, London: False, Error: 0, Next: 7.772535089999999, Change: 0
2019-10-16 20:42:45.4814 TotalError: 0, Region: Canterbury, London: False, Error: 0, Next: 3.9035892266666665, Change: 0
2019-10-16 20:42:45.5010 TotalError: 0, Region: Cardiff, London: False, Error: 0, Next: 8.069846840333334, Change: 0
2019-10-16 20:42:45.5010 TotalError: 0, Region: Carlisle, London: False, Error: 0, Next: 7.600239711, Change: 0
2019-10-16 20:42:45.5010 TotalError: 0, Region: Carmarthenshire, London: False, Error: 0, Next: 10.952644763333334, Change: 0
2019-10-16 20:42:45.5150 TotalError: 0, Region: Castle Point, London: False, Error: 0, Next: 5.826175446, Change: 0
2019-10-16 20:42:45.5150 TotalError: 0, Region: Central Bedfordshire, London: False, Error: 0, Next: 1.8820631276666664, Change: 0
2019-10-16 20:42:45.5150 TotalError: 0, Region: Ceredigion, London: False, Error: 0, Next: 3.193051961, Change: 0
2019-10-16 20:42:45.5317 TotalError: 0, Region: Charnwood, London: False, Error: 0, Next: 2.3857813753333335, Change: 0
2019-10-16 20:42:45.5317 TotalError: 0, Region: Chelmsford, London: False, Error: 0, Next: 6.337635780333334, Change: 0
2019-10-16 20:42:45.5317 TotalError: 0, Region: Cheltenham, London: False, Error: 0, Next: 10.415775903666667, Change: 0
2019-10-16 20:42:45.5456 TotalError: 0, Region: Cherwell, London: False, Error: 0, Next: -0.8286521633333334, Change: 0
2019-10-16 20:42:45.5456 TotalError: 0, Region: Cheshire East, London: False, Error: 0, Next: 5.544769505333334, Change: 0
2019-10-16 20:42:45.5456 TotalError: 0, Region: Cheshire West and Chester, London: False, Error: 0, Next: 6.618460974, Change: 0
2019-10-16 20:42:45.5620 TotalError: 0, Region: Chesterfield, London: False, Error: 0, Next: 6.514104755999999, Change: 0
2019-10-16 20:42:45.5620 TotalError: 0, Region: Chichester, London: False, Error: 0, Next: 0.883338461, Change: 0
2019-10-16 20:42:45.5620 TotalError: 0, Region: Chiltern, London: False, Error: 0, Next: 3.672290889666666, Change: 0
2019-10-16 20:42:45.5764 TotalError: 0, Region: Chorley, London: False, Error: 0, Next: 4.354157497, Change: 0
2019-10-16 20:42:45.5764 TotalError: 0, Region: Christchurch, London: False, Error: 0, Next: 5.610051451333334, Change: 0
2019-10-16 20:42:45.5764 TotalError: 0, Region: City of Aberdeen, London: False, Error: 0, Next: -0.21998281966666666, Change: 0
2019-10-16 20:42:45.5917 TotalError: 0, Region: City of Bristol, London: False, Error: 0, Next: 5.459369951333334, Change: 0
2019-10-16 20:42:45.5917 TotalError: 0, Region: City of Derby, London: False, Error: 0, Next: 7.907962133000001, Change: 0
2019-10-16 20:42:45.5917 TotalError: 0, Region: City of Dundee, London: False, Error: 0, Next: 3.9634875326666665, Change: 0
2019-10-16 20:42:45.6065 TotalError: 0, Region: City of Edinburgh, London: False, Error: 0, Next: 7.586285440333334, Change: 0
2019-10-16 20:42:45.6065 TotalError: 0, Region: City of Glasgow, London: False, Error: 0, Next: 9.240986923666666, Change: 0
2019-10-16 20:42:45.6065 TotalError: 0, Region: City of Kingston upon Hull, London: False, Error: 0, Next: 6.606026993, Change: 0
2019-10-16 20:42:45.6065 TotalError: 0, Region: City of London, London: False, Error: 0, Next: 7.695458171000001, Change: 0
2019-10-16 20:42:45.6244 TotalError: 0, Region: City of Nottingham, London: False, Error: 0, Next: 7.878506033333334, Change: 0
2019-10-16 20:42:45.6244 TotalError: 0, Region: City of Peterborough, London: False, Error: 0, Next: 7.880364875666667, Change: 0
2019-10-16 20:42:45.6244 TotalError: 0, Region: City of Plymouth, London: False, Error: 0, Next: 7.947166779999999, Change: 0
2019-10-16 20:42:45.6392 TotalError: 0, Region: City of Westminster, London: False, Error: 0, Next: 1.7518446983333333, Change: 0
2019-10-16 20:42:45.6392 TotalError: 0, Region: Clackmannanshire, London: False, Error: 0, Next: 11.506005036666666, Change: 0
2019-10-16 20:42:45.6392 TotalError: 0, Region: Colchester, London: False, Error: 0, Next: 3.2200613590000002, Change: 0
2019-10-16 20:42:45.6524 TotalError: 0, Region: Conwy, London: False, Error: 0, Next: 7.775076317333333, Change: 0
2019-10-16 20:42:45.6524 TotalError: 0, Region: Copeland, London: False, Error: 0, Next: 4.457119688666666, Change: 0
2019-10-16 20:42:45.6524 TotalError: 0, Region: Corby, London: False, Error: 0, Next: 4.479631785, Change: 0
2019-10-16 20:42:45.6524 TotalError: 0, Region: Cornwall, London: False, Error: 0, Next: 5.665642937333334, Change: 0
2019-10-16 20:42:45.6716 TotalError: 0, Region: Cotswold, London: False, Error: 0, Next: 12.804765166666668, Change: 0
2019-10-16 20:42:45.6716 TotalError: 0, Region: County Durham, London: False, Error: 0, Next: 5.94412148, Change: 0
2019-10-16 20:42:45.6862 TotalError: 0, Region: Coventry, London: False, Error: 0, Next: 6.451403862333334, Change: 0
2019-10-16 20:42:45.6862 TotalError: 0, Region: Craven, London: False, Error: 0, Next: 11.494654972000001, Change: 0
2019-10-16 20:42:45.6862 TotalError: 0, Region: Crawley, London: False, Error: 0, Next: 2.820393663666667, Change: 0
2019-10-16 20:42:45.7008 TotalError: 0, Region: Croydon, London: True, Error: 0, Next: 2.132156307333333, Change: 0
2019-10-16 20:42:45.7008 TotalError: 0, Region: Cumbria, London: False, Error: 0, Next: 6.735686116, Change: 0
2019-10-16 20:42:45.7008 TotalError: 0, Region: Dacorum, London: False, Error: 0, Next: 2.872657089, Change: 0
2019-10-16 20:42:45.7148 TotalError: 0, Region: Darlington, London: False, Error: 0, Next: 2.5589317213333334, Change: 0
2019-10-16 20:42:45.7148 TotalError: 0, Region: Dartford, London: False, Error: 0, Next: 2.852014726, Change: 0
2019-10-16 20:42:45.7148 TotalError: 0, Region: Daventry, London: False, Error: 0, Next: 2.0373218603333334, Change: 0
2019-10-16 20:42:45.7148 TotalError: 0, Region: Denbighshire, London: False, Error: 0, Next: 4.493224562, Change: 0
2019-10-16 20:42:45.7344 TotalError: 0, Region: Derbyshire, London: False, Error: 0, Next: 7.9533541733333335, Change: 0
2019-10-16 20:42:45.7344 TotalError: 0, Region: Derbyshire Dales, London: False, Error: 0, Next: 13.91659928, Change: 0
2019-10-16 20:42:45.7344 TotalError: 0, Region: Devon, London: False, Error: 0, Next: 5.994504326666667, Change: 0
2019-10-16 20:42:45.7489 TotalError: 0, Region: Doncaster, London: False, Error: 0, Next: 8.786891833333334, Change: 0
2019-10-16 20:42:45.7489 TotalError: 0, Region: Dorset, London: False, Error: 0, Next: 4.514834928333333, Change: 0
2019-10-16 20:42:45.7489 TotalError: 0, Region: Dover, London: False, Error: 0, Next: 5.717875807333333, Change: 0
2019-10-16 20:42:45.7643 TotalError: 0, Region: Dudley, London: False, Error: 0, Next: 5.526942715333333, Change: 0
2019-10-16 20:42:45.7643 TotalError: 0, Region: Dumfries and Galloway, London: False, Error: 0, Next: 1.5774045076666665, Change: 0
2019-10-16 20:42:45.7643 TotalError: 0, Region: Ealing, London: True, Error: 0, Next: 0.3842624446666667, Change: 0
2019-10-16 20:42:45.7779 TotalError: 0, Region: East Ayrshire, London: False, Error: 0, Next: 1.9543143066666666, Change: 0
2019-10-16 20:42:45.7779 TotalError: 0, Region: East Cambridgeshire, London: False, Error: 0, Next: 5.415740867333333, Change: 0
2019-10-16 20:42:45.7779 TotalError: 0, Region: East Devon, London: False, Error: 0, Next: 4.942106801, Change: 0
2019-10-16 20:42:45.7779 TotalError: 0, Region: East Dorset, London: False, Error: 0, Next: 1.969015285, Change: 0
2019-10-16 20:42:45.7960 TotalError: 0, Region: East Dunbartonshire, London: False, Error: 0, Next: 10.409455757666667, Change: 0
